createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,Liq_Eth,Liq_Tok
2020-05-19,0x87c9524237a19338be7dbcac01d6d208ff31136f,Wrapped Ether,WETH,Pluton,PLU,0xd8912c10681d8b21fd3742244f44658dba12264e,Pluton,PLU,30728,0x04cac93a2894ae801163040df4c5380afabcf9b5,27276,4451.844561,5.103110492
2020-05-19,0x41cbc04c72bccc99df0f7f77e3109156f547b21e,Wrapped Ether,WETH,Statera,STA,0xe343245de92181bc06ba5cd1152c705a2c5f3e2f,Statera,STA,2436,0xa2612ffd29c3fa161712ef8069ef5dda344624cf,2413,4932384.726,0.054426119
2020-05-19,0x4ce3687fed17e19324f23e305593ab13bbd55c4d,Fuse Token,FUSE,Wrapped Ether,WETH,0x970b9bb2c0444f5e81e9d0efb84c8ccdcdcaf84d,Fuse Token,FUSE,14004,0xd9176e84898a0054680aec3f7c056b200c3d96c3,10619,5441084.957,122.4693736
2020-05-19,0x964581a7b638f1b63b7466265996c72229a726a5,Cotrace,COTR,Wrapped Ether,WETH,0x40428fdd5588197c15dd00b22fe9b9a48afeeb23,Cotrace,COTR,142,0x1a50c4ec4992a9283ea15cde1be7d535e98adff4,142,38466.84039,0.134813897
2020-05-19,0x416092d21161b9007993384847eecf6a730fb9b0,TopCoin,TPC,Wrapped Ether,WETH,0x3296294a172d541c548819875e027b5fcb3e4a85,TopCoin,TPC,3,0x075a5d77e17502aba0388746aa229bb33682f521,3,3000.0,0.0021
2020-05-19,0xa27c56b3969cfb8fbce427337d98e3bd794ec688,Dai Stablecoin v1.0,DAI,Wrapped Ether,WETH,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,Dai Stablecoin v1.0,DAI,2009,0x552f355ccb9b91c8fb47d9c011abad5b72ec30e9,2000,1707.953575,8.829948721
2020-05-19,0x8a38ad17d1adcdbe3775338d1470fd6f00f77802,Wrapped Ether,WETH,DFOHub,BUIDL,0xd6f0bb2a45110f819e908a915237d652ac7c5aa8,DFOHub,BUIDL,8946,0x74ef70357ef21bad2b45795679f2727c48d501ed,4796,77.87037583,0.012833084
2020-05-19,0xde65eed30da8107ce49e8f1952391e16756c2998,BIZCOIN,BIZ,Wrapped Ether,WETH,0x168079c89f0fd13e021d69c9ea4859b4353535fc,BIZCOIN,BIZ,869,0x59843c38bd857711273e594bcc4f14d7ced0c7a9,869,10678648.5,0.043152296
2020-05-19,0xa7bce4f57c45ca4a07f75d45ff5b168645a0fcfa,EANTO Token,EAN,Wrapped Ether,WETH,0xb4742e2013f96850a5cef850a3bb74cf63b9a5d5,EANTO Token,EAN,72,0x3690a2cbd8c85899b41c33eeff2102c71e3d91d5,72,8579.459164,0.511782293
2020-05-19,0x6fa835713c6daedfa7a8bd241c8d658f51df1fe0,Rigo Token,GRG,Wrapped Ether,WETH,0x4fbb350052bca5417566f188eb2ebce5b19bc964,Rigo Token,GRG,703,0x000f05552f24850e75793d38c2bd0cbd249a9ff4,680,7.85e-14,1.5e-17
2020-05-19,0x50a92b2bb1de408854c8fde649ad5ea0dfcad483,6ix9ine Chain,69C,Wrapped Ether,WETH,0x02fdd6866333d8cd8b1ca022d382080698060bc2,6ix9ine Chain,69C,1161,0xf8fa8a250bca63b517671608a1567cf60479ab74,1161,9723736.951,0.339719498
2020-05-19,0x4130766f0afb01310bdfc4cdbe923217a23e7e2e,Knekted,KNT,Wrapped Ether,WETH,0x7cc62d8e80be9bea3947f3443ad136f50f75b505,Knekted,KNT,6,0xf16b6502f917b786c2720bd0d003c87bf4a4c522,6,2.87e-12,1e-18
