createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,current_token,current_Eth,initial_Liquidity_Eth,initial_Liquidity_Token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull
2021-10-28,0xfc45891fecc88bafa68f159985aa351dbb8948fb,Hikaru Inu,HIKARUINU,Wrapped Ether,WETH,0x7a996a81778c333ee8fed69e045ae15267d85e71,Hikaru Inu,HIKARUINU,40,0x576795e76f36ccb15ae5b6205b685d2c9d2fc805,40,0.011514107,1e-18,2.0,8.989898989898989e+17,1635425022,2021-10-28 21:43:42,1,38,1,0,442,990,26,12,990,burn,1635425022,2021-10-28 21:43:42,3.75002266917364,1e-18,-1.0,0.275h,True
2021-10-28,0x7b77cb5ca557fa4696c67bb1a6a8816739b1a3bd,Wrapped Ether,WETH,Anime inu,ANIME,0xd7a7749189fb34ed463d7b21d4ed7b818a9b5775,Anime inu,ANIME,25,0x47ac601ad531d0a4e2e033fd75ad3fd96b0974c1,25,1.49e-06,7.06e-16,3.0,8558558558.558558,1635402665,2021-10-28 15:31:05,1,23,1,0,190,407,13,10,407,burn,1635402665,2021-10-28 15:31:05,3.5746834024578886,7.06e-16,-0.9999999999999998,0.11305555555555556h,True
2021-10-27,0xaef507377ef38320de61f1a880f53746a22a3312,Wrapped Ether,WETH,StarLWars,STARLW,0xc12dbb1e0771eda6984f742d4343e1e49c33a351,StarLWars,STARLW,114,0x046493b31dab6bae6feb20546722939abf525f09,114,2380000000000000.0,0.010008003,2.3,10000000000000.0,1635298995,2021-10-27 10:43:15,1,113,0,0,1529,0,80,33,2899,swap,1635298995,2021-10-27 10:43:15,1.000008002720784,0.0100080027207841,-0.9899920773698262,0.8052777777777778h,True
