,Unnamed: 0,createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,token00_creator_address
25010,25010,11448372,2020-12-14,0x4f8a778b7bfbea5977824bd99dbca3e875483135,1.01e-15,9.95e-16,1.99e-15,1.15e-12,0.0,35,1.01e-15,9.95e-16,0x53e5f397b563ddbf75b99164304f85efdfc5daaf,refract,RFR,1.01e-15,35,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x53e5f397b563ddbf75b99164304f85efdfc5daaf,refract,RFR,1.01e-15,35,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x4c10aa1f3461fdc3db4e3fe3178761ad14e2d42e
25011,25011,11448337,2020-12-14,0xbf568e6c6742bd0deecc1dd7f82e8c6b829d8ae8,3.08e-14,3.3e-17,6.6e-17,3.83e-14,0.0,5,3.08e-14,3.3e-17,0xa824f1d790af2f054650334a8282143f817ec988,Rf3eer.finance,RF3R,3.08e-14,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xa824f1d790af2f054650334a8282143f817ec988,Rf3eer.finance,RF3R,3.08e-14,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x35b26a67750737744641ea8aa7e6354c782be56e
25012,25012,11448235,2020-12-14,0x7de15e8d9a5252425d4345d8942f771848241c44,186.2459021,784.8489854,372.4918041,1541603.456,0.011903216,2742,784.8489854,186.2459021,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xe0bdaafd0aab238c55d68ad54e616305d4a21772,refract,RFR,785.1979158,2869,0xe0bdaafd0aab238c55d68ad54e616305d4a21772,refract,RFR,785.1979158,2869,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x472697c949b35d65081123824e77d910f8c1f4f3
25013,25013,11448162,2020-12-14,0xf1017aa52746a64ae487a3f2c72ff9e21b81bcb4,30.72029415,3.680312342,7.360624685,9831.738312,0.000106253,69,30.72029415,3.680312342,0x1c550dc3f881eb40f0978e32d0dae6650148c1b9,hodl.bag,HODLBAG,30.72029415,69,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x1c550dc3f881eb40f0978e32d0dae6650148c1b9,hodl.bag,HODLBAG,30.72029415,69,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xbbf2e76d28bcd47451fc8905e7cd362f4d7e9a17
25014,25014,11448135,2020-12-14,0xa347f4239e812d54b6cc06696c7dae6cba26b583,7.76e-15,1.3e-16,2.6e-16,1.5e-13,0.0,43,7.76e-15,1.3e-16,0x1019eaaa04665ce715288da3a5ab75711b2f4b4f,badger.finance,BADGER,7.76e-15,43,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x1019eaaa04665ce715288da3a5ab75711b2f4b4f,badger.finance,BADGER,7.76e-15,43,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x5b0e2d7423a568dfda63a134c3ec6c44c755e518
25015,25015,11448066,2020-12-14,0xaa91400eabaf03dd013ada875e07db73a75d4bf6,1526630084.0,0.000394864,0.000789728,0.460578519,774.5966692,16,1526630084.0,0.000394864,0x8850199525d30d5af7d047bb3ef34a06917b4e6a,RFI V2,RFI2,1526630084.0,16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x8850199525d30d5af7d047bb3ef34a06917b4e6a,RFI V2,RFI2,1526630084.0,16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x6bd5cf61354b2d06b5a1c5fd4f16ff2e33b0bcc6
25016,25016,11448029,2020-12-14,0x0fb553f189f98d9aa5074660bf8a320a6117f43c,6.85e-15,1.47e-16,2.94e-16,1.74e-13,0.0,31,6.85e-15,1.47e-16,0xbfd1e880599d4051c545a427b79d9bd437c5039a,TaxYield.org,TXY,6.85e-15,31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xbfd1e880599d4051c545a427b79d9bd437c5039a,TaxYield.org,TXY,6.85e-15,31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x5b0e2d7423a568dfda63a134c3ec6c44c755e518
25017,25017,11448012,2020-12-14,0x6aef28f68e5d5bcd6fa245e142727ee26c4d528b,2e-18,7.68e-13,2e-18,1.17e-15,0.0,2,7.68e-13,2e-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xfd9f4a4707ad765b79cef17a13de39d4c2a1d367,dao.finance,DAO,7.68e-13,2,0xfd9f4a4707ad765b79cef17a13de39d4c2a1d367,dao.finance,DAO,7.68e-13,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x7d54d5e7e0ba14193696e0d96af8237f2ea6b2b3
25018,25018,11447973,2020-12-14,0x6c04ad1ea742b0211b7146bb893a3465a3481f43,7.64e-13,2e-18,4e-18,2.33e-15,0.0,2,7.64e-13,2e-18,0x49e9a95b355d1504cf49f5ac347b560052f2c3ee,green.finance,GFI,7.64e-13,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x49e9a95b355d1504cf49f5ac347b560052f2c3ee,green.finance,GFI,7.64e-13,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x7d54d5e7e0ba14193696e0d96af8237f2ea6b2b3
25019,25019,11447945,2020-12-14,0xf385bf3c38ff7ddb1cf5daa63f1d5d61585dfead,2.29e-16,4.38e-15,2.29e-16,1.34e-13,0.0,6,4.38e-15,2.29e-16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xc35c18d91d8a102d92405cb5441fc0f751d35cdf,ErikaToken,ERKA,4.38e-15,6,0xc35c18d91d8a102d92405cb5441fc0f751d35cdf,ErikaToken,ERKA,4.38e-15,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x4c0271bb7ccdc5cf58f1ca8c63d936a2f1863adc
