createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,current_token,current_Eth
2021-10-28,0xfc45891fecc88bafa68f159985aa351dbb8948fb,Hikaru Inu,HIKARUINU,Wrapped Ether,WETH,0x7a996a81778c333ee8fed69e045ae15267d85e71,Hikaru Inu,HIKARUINU,40,0x576795e76f36ccb15ae5b6205b685d2c9d2fc805,40,0.011514107,1.00E-18
2021-10-28,0x7b77cb5ca557fa4696c67bb1a6a8816739b1a3bd,Wrapped Ether,WETH,Anime inu,ANIME,0xd7a7749189fb34ed463d7b21d4ed7b818a9b5775,Anime inu,ANIME,25,0x47ac601ad531d0a4e2e033fd75ad3fd96b0974c1,25,1.49E-06,7.06E-16
2021-10-27,0xaef507377ef38320de61f1a880f53746a22a3312,Wrapped Ether,WETH,StarLWars,STARLW,0xc12dbb1e0771eda6984f742d4343e1e49c33a351,StarLWars,STARLW,114,0x046493b31dab6bae6feb20546722939abf525f09,114,2.38E+15,0.010008003
